,rating,aircraft,type_of_traveller,cabin_flown,route,date_flown,seat_comfort,cabin_staff_service,food_and_beverages,inflight_entertainment,ground_service,wifi_and_connectivity,value_for_money,recommended,verified,review
159,3,,Solo Leisure,First Class,New York to Atlanta,May 2023,3,1,1,,1,1,1,0,✅ Trip Verified ,"  I am pregnant and was cleared by my gynecologist to fly. I had to use restroom while plane had few minutes to taxi I asked the crew if I can use restroom real quick as plane was delayed to take off on time,they said no and I went back to be seated. When plane was landing at destination airport they had specific announcement that do not use restroom while landing because they have spacious ones at airport .. that was unnecessary as No one asked about it and not even going to use it, and rude at the same time. Horrible experience they made me feel stupid about the situation."
160,10,,Solo Leisure,Economy Class,Baltimore to Honolulu,May 2023,5,5,5,5,5,5,5,1,Not Verified ,"  I am currently on a flight, lost my headphones (Bose headphones, gift from wife), and a flight attendant was on her hands and knees looking for it while 36,000 feet above sea level (Laura flight 837). Needless to say, her efforts paid off as she found my headphones under a seat three rows in front of me. This is excellent customer service, and they have gained a forever customer. This may seem insignificant to some, but these headphones have sentimental value to me since I am a soldier who travels often, and my wife purchased these for me on our 13th year anniversary. Thank you Laura, and thank you Delta for hiring such a wonderful staff."
161,10,,Business,Economy Class,Los Angeles to Boston,April 2023,5,5,,5,5,5,5,1,Not Verified ," Really really proud of Delta's onboard service. seat comfortable, cabin crew was friendly, bathrooms/cabin was clean, WiFi was very connectible, ground service really good, inflight entertainment was awesome, value for money is excellent. will definitely fly with them again!"
162,10,,Business,First Class,Atlanta to Orlando,May 2023,5,5,4,5,5,5,3,1,✅ Trip Verified ,"  The review is to mention the Gate team and first class service crew. somehow I accidentally lift my Phone in the gate area and could not find it. It was boarding time and I mention to the gate team that I misplace my phone. Vivian,  the gate agent went out of her way to locate the phone for me. The flight crew communicated with her. She found the phone and brought it onboard just before the doors closed. I take this time again to say thank to miss Vivian for your excellent and pleasant service. I am just starting to fly first class but this crew give so pleasant with there service"
163,1,,Couple Leisure,Business Class,Los Angeles to Paris,May 2023,1,2,1,,1,,3,0,✅ Trip Verified ,"  I do not recommend this route. When I purchased the ticket, Delta was partnered with Air France. I fly this route often and when operated by Air France, it was a much better experience. Delta’s LAX to Paris now uses a domestic terminal with no access to duty free or the good airport lounges. We had to use the Delta One Lounge which was the McDonalds of airport lounges. When we boarded the plane they did not offer champagne. They had Sparkling wine.  The business class cabin was mediocre and the the goody bag was kitch environmental rubbish. I enjoy flying International because usually it is luxurious and a highlight of the trip. This was a little better than a long domestic flight which is sad. Won’t make this mistake again! Don’t fly Delta International out of LAX. Delta, stay in your lane and keep to domestic flights. Sub out your international flights to companies that remember what service and class was."
164,4,Boeing 767,Couple Leisure,Business Class,Naples to Atlanta via Paris,May 2023,4,5,4,5,1,4,4,0,✅ Trip Verified ,"  My wife and I were returning from a long delayed vacation. We splurged on first class flights. Our flight was supposed to leave Naples, Italy at 0610. Air France sent a heavy aircraft to Naples that had problems getting back out. As a result, we missed our connecting flight in Paris (also an Air France flight) by about 15 minutes. We were rebooked on a Delta flight 5 hours later. When we arrived in Atlanta on Delta flight 085, our checked bags were not on it. We contacted baggage services and they told us the bags were in Paris and would be put on a flight the next day and we would have them by 9 PM. We made it clear that the bags contained prescription medication that we needed. The next day, neither bag showed up, despite repeated attempts to track them using Deltas online system. At 9:15 PM we were told that the bags would be coming in the next day (today). At 1000 today we found one bag loaded onto an Alitalia flight from Naples (they never made it to Paris to begin with), and that it would be transferred to a flight to Atlanta today. The second bag is still in Naples and no one at Delta can do anything to get it moving. They pass it off as the baggage handlers problem not Deltas."
165,2,,Solo Leisure,Economy Class,Detroit to Amsterdam,May 2023,1,1,1,1,1,1,3,0,✅ Trip Verified ,"  The departure time is scheduled to leave Detroit for 22:20. We stayed at the airport an extra 4 hours, made our arrival to Amsterdam later than expected. The wait time and fly connections of the trip is terrible. The expected arrival to my destination (Beirut) was supposed to be 19:36. There was too many unnecessary/unknown delays. The food on the plane was disgusting to eat.  Will never travel with Delta Air Lines anymore. "
166,3,,Family Leisure,Economy Class,baltimore to indi,May 2023,,,,,,,2,0,Not Verified ,"  Worst customer service. They change the flight timing after you book your preferred flight. We booked flight with less lay over time and Delta kept changing the timing so frequently according to their wish and now the lay over is more then other flights. They say you can change the tickets if you like and are not happy with the current flight time change. But all the other flights are so costly and asking me to pay more than 1000$ for flight change. I did not request a flight time change. Delta did and asking me to pay the price difference if I wish to change my flight timing. Me and my kids were traveling together and had one reservation number. I called customer service to see if I can make my kids travel using the unaccompanied minor service. Without even checking if it is possible or not, the customer service agent went ahead and first separated my kids and my reservations. I will never book tickets in Delta ever again. Greedy worst airline it is."
167,1,,Family Leisure,Economy Class,Orlando to Atlanta,May 2023,1,1,2,1,1,1,1,0,✅ Trip Verified ,"  When boarding the plane in Orlando the woman scanning tickets was very rude and condescending. I have only flown a few times and my parents have never flown. When we got to the front she started pointing at items and saying we needed to consolidate but was rolling her eyes like we should have known that the small monkey stuffed animal my son was holding was considered a bag. I also did not realize my Fanny pack that was only carrying my phone was a bag. She was raising her voice and getting my kids upset. We shoved his stuffed animal and my Fanny pack into a bag and then she said my mothers purse which was smaller than my Fanny pack was a bag then grabbed one of our rolling bags and told the other woman working there to “check it in”. She said “you’ll get it when you get off” then pushed us through. The guy behind us who was on the flight explained since it’s a connecting flight we would pick it up at the turnstile in Albany. It was very stressful and so upsetting to the entire party. The staff onboard were not friendly and the plane was dirty. I was told not to fly Delta but unfortunately the flight was cancelled through the other airline for returning so my choices were very limited. My flight to Orlando was with Jetblue and they had the same written instructions on the website for bags and we did not have any issue with a Fanny pack, a purse and a stuffed monkey being counted in our bags. I would rather drive the 23 hours back home than ever put my family through that nonsense again. The movie screens had to be fixed a couple of times and some passengers still didn’t have a working one. The seats were super uncomfortable. I 100% honestly have never written a bad review for any business but felt it was necessary to share the terrible experience we had with Delta."
168,9,Boeing 767-400,Business,Business Class,Boston to London,January 2023,5,5,3,,5,5,5,1,Not Verified ,"  I think Delta has designed the perfect business class/lie flat seat. I flew the 767-400 to London recently. It was a new aircraft to me. It’s so comfortable. All the seats feel private, there is ample storage space, the amenities were deluxe."
169,3,,Couple Leisure,Economy Class,Houston to Atlanta,May 2023,3,3,2,3,2,4,2,0,✅ Trip Verified ,  There was a swarm of bees in one of the airplane's side and the staff of that plane handled the situation poorly. The flight was delayed for almost 5 hours. What's worse is that they changed the boarding gate and we went to that boarding gate in which different flight was scheduled to fly. No announcement over the speaker was made regarding the flight. Then they sent updates via email but it was already too late. No compensations were made. This is such a terrible experience. Might not book with them anymore.
170,1,,Solo Leisure,Economy Class,Boston to Shanghai,April 2023,2,2,2,2,1,2,1,0,✅ Trip Verified ,"  I had the nightmare flight experience from Delta Airlines. My recent trip from Boston to Shanghai was a complete disaster. Delta Airline flight DL509 got delayed 3 hours and made me arrive late in Los Angeles from Boston. This made me miss my connecting flight to Shanghai with China Airlines. Second, Delta Airlines changed my entire trip without notifying me. I found out my flight changed the next day from my travel agent. Delta changed my entire trip and made me use their airline to fly back to China instead of flying with China Airlines. The new trip now forced me to fly to Seattle and then fly to China through Delta Airlines. This forced me to stay in a hotel for 2 nights and the 2nd night hotel I had to pay out of pocket. Third, Delta Airlines then tried to make me purchase a Main Cabin class ticket for the 3rd day flight to China on their Airlines. This was an $800 ticket which they said I have to purchase in in order to get on the only next available flight to China. So, for them making me miss my connecting flight I had to pay $800 just to fly back and also I had to spend $200 the second night for a hotel in Seattle so I can catch the flight to China the 3rd day is ridiculous. Finally, when I took their flight to China on the third day and arrived in China they lost my luggage. I had important items in my luggage which I had to give to my relatives and now its gone and they are still trying to find it. Delta mentioned specifically that I did not need to worry about my luggage when my flight got changed by them. This entire trip made me feel like a helpless homeless person for 3 days and as an old 70 year old man my health deteriorated greatly from the stress they caused me. There’s no shame in the horrendous customer service they provided and I was never compensated by Delta Airlines for the distress they caused me."
171,10,A320,Business,Economy Class,Dallas Ft Worth to Detroit,April 2023,5,5,5,5,5,5,5,1,Not Verified ,"  Delta Air Lines was amazing, all aspects. The gate agents were very helpful and the flight crew was incredible.  Also, so amazing to have WIFI that actually works and movies/screens without having to use a personal device. Much more pleasant than dragging out your own device, but also great to be able to use my phone for work email and texting via their WIFI."
172,8,A350-900,Couple Leisure,Premium Economy,Sydney to Mexico City via Los Angeles,April 2023,4,5,3,3,1,3,4,1,Not Verified ,"  April 5th we travelled from Sydney to Mexico City and Cabo to Sydney on April 25th, 2023. We booked premium economy after looking at reviews. I've travelled Premium economy with Air Canada once previously. Sydney to LA was very comfortable with the foot rest and ample room. The seats go back far enough for me to sleep quite well. We received a menu and could choose from 2-3 options at dinner and breakfast. There were different wines to choose from as well. Food was great and it was so nice to eat off plates with proper cutlery and not be knocking elbows. The flights from LA to Mexico City and Cabo to LA were also great. What we didn't realise that because we had booked Premium Economy on our main legs we were in comfort class on the shorter flights. More room, designated cabin storage and choice of snacks. So that was a nice surprise. On our return flight from LA to Sydney there was a marked difference in the quality and choice of food and wine. We had a two choices for main one being vegetarian and no choice for breakfast. The dessert was a small slice. I asked for some fruit but none as forthcoming until breakfast. There was only one white wine offered that being Chardonnay which I don't like. Delta advertises wine and food choices for premium economy and did not deliver on the LA to Sydney leg. We did get noise cancelling headphones to use which was good but just be aware you cant use them with your devices only the entertainment provided so you still may want to bring your own. Also internet did not work LA to Sydney but did Sydney to LA. The amenity bags from LA to Sydney included out of date lotions and vouchers. No access to the lounge which United does include in its premium economy offers. Our return flight was changed to a 7 hour wait in LA so it would have been nice to have had lounge access for something that was not our fault. The Sydney to LA flight was late leaving and we had a 2 hour window to collect our bags , recheck them and get to another terminal to catch our flight to Mexico City. Luckily customs was quick but the baggage carousel stopped and needed a maintenance person. It didn't look like we were going to make it. I know Delta would have to book us onto the next available flight if we missed our flight due to no fault of our own but that does create booking problems. As we ran to the gate the boarding closed sign was up but previous passengers had told them we were on our way and we were able to board. Just! There was no allowance or help given by Delta for something they were responsible for. In hindsight a 2 hour time frame does not take into account any delays so a 3 hour window would be much less stressful or stay overnight in LA. Overall the flight was good, especially Sydney to LA. As we have gotten older we have decided to travel in more comfort and Premium Economy does supply that. I'm nearly 6' tall and no longer as resilient to cramped sitting although our run from one terminal to another with full luggage was quite impressive if I do say so myself!"
173,1,,Solo Leisure,Economy Class,Casablanca to Indianapolis via Boston,December 2022,3,5,3,3,4,4,1,0,✅ Trip Verified ,"  It's not about the flight I already took but the one I was supposed to take back. I booked through an agent in Morocco, was supposed to return in May but the Delta airline (not me, not the travel agent) changed my dates of travel which messed up everything, then they tell me because I didn't book through them specifically they won't do anything about accommodating a different day since I couldn't travel on the day the gave me. How messed up is that, this mega airline is so shameless that just because I didn't book straight through them even when it was them that changed my dates, they won't do anything which totally messes up everything for me, do they care? No! Their attitude is(what they kept saying) you didn't book through us so we can't/won't do anything about it! I will never fly Delta again."
174,10,,Couple Leisure,Economy Class,Salt Lake City to Atlanta,May 2023,4,3,4,5,5,3,4,1,✅ Trip Verified ,"  We were waiting for my flight and my husband had to ask questions to the person helping customers to get into the plane to Denver today May 1 at 1:20pm. He was very professional and attentive, he did an outstanding job. He makes Delta look very good. He is well spoken. We have been here for awhile and he is the best. His name is Kody. Companies need people like him."
175,1,,Family Leisure,Economy Class,Myrtle Beach to Detroit,April 2023,3,4,1,3,3,3,1,0,Not Verified ,"  Delta canceled our flight home and never notified us via email or text or phone call. They simply rebooked our entire family on separate flights. We originally had a direct flight and now had to have layovers in separate cities to get home. The reason for the cancellation wasn’t weather related rather it was because they are understaffed and didn’t have a crew to man the plane. From what I was told and read online it’s due to Delta forcing the vaccine on their employees and the employees either resigning or are fired. Their choice of compensation was issuing 10,000 miles which is essentially $100. This cancelation forced us to miss Easter with the rest of family. The part that is frustrating is they knew there wasn’t a crew to man the plane and waited until the following morning to rebook everybody and give no notice only a time for check in. Needless to say this sounds like something Southwest or Spirit would do, not Delta."
176,1,,Solo Leisure,Economy Class,Salt lake city to Dallas,April 2023,1,1,,,1,,1,0,✅ Trip Verified ,"  After my flight from SD to SLC was delayed, I missed my flight to Dallas. I walked towards Delta customer service near A15 when in order to find the quickest flight to Dallas. One of the customer service agents found a direct flight with the earliest arrival at 9:19PM. I asked the agent whether they can upgrade my seat for the inconvenience since I payed to insure my ticket. The gentleman sent to a lady and she said she “I upgraded you to Comfort+”. That made me feel good until I scanned my ticket to board and they did not upgrade my seat. "
177,1,,Couple Leisure,Economy Class,Tampa to Detroit,April 2023,1,1,1,,1,1,1,0,✅ Trip Verified ,"  I believe that this will be the last time we fly with this airline. To start, every passenger made it on time but the pilot caused about an hour delay because he didn’t show up and we had to sit and wait after boarding for Delta to find another pilot. If you know the captain isn’t here or running late don’t squish everyone onto your cramped plane. Then I happen to be sitting next to the emergency exit and was trying to make sure I had the procedure of opening the emergency door solely by the illustration in the pamphlet when the delta lady butted into my conversation with my wife to correct me by mentioning the door will open itself after lifting the lever and I would go with it if I was still holding onto it. I jokingly said I guess I’d be the first off. Apparently her sense of humor is poor because then she threatens to move my seat and gets short with me. She said not to be snarky but she takes her job seriously. That’s fine I get taking you job seriously but learn how to communicate better and don’t come across like such a bitch maybe. That FA completely ruined my flight back home with her nasty attitude. I bit my tongue to avoid it coming to a situation like I’ve seen only on social media where police come escort passengers off the plane. After my little run in with the lady in 13d (your employee) I can almost understand how those situations arise. Oh yeah, and they charged us for our luggage for our flight there and our flight back. My wife used her delta American Express and was informed when checking our bags that we shouldn’t have had to pay. Considering all of these issues I’ve had on ONE flight I do believe we will consider other options when it comes to air travel. "
178,8,Boeing 737-900 and CRJ900,Solo Leisure,Economy Class,"San Francisco, CA to Columbus, Mississippi",April 2023,3,5,2,4,4,2,4,1,Not Verified ,"  You mostly see negative reviews on here about Delta, but my red eye flight from SFO to ATL, then from ATL to GTR on 4-17/18 were perfect and smooth. Both flights left on time and all the FA's seemed like they were enjoying their jobs with a smile on their faces. Drinks and snacks were served from SFO-ATL twice on the 4 hour flight. Then on 4-26 and 4-27 going back to SFO, everything went smooth once again. I would highly recommend flying with Delta Airlines. Twice a year I fly these routes and I have never had a problem with one of my flights with Delta. Thanks to the Pilots for getting me to my destination safely and thanks to all the FA's who work hard who keep a smile in their faces. It really makes a difference! Thank you!
"
179,5,,Couple Leisure,Economy Class,Atlanta to West Palm Beach,April 2023,4,5,5,5,5,4,4,1,✅ Trip Verified ," We arrived in Atlanta from London with almost 3 hours to wait. The flight was to leave at 6:15 in the evening but around 530 we were told that there was a weather problem and would be delayed until 7 o’clock. At about 6:55 they change the delayed time to 720 and the plane started to load and was completed by about 730 or 735 and we left the gate headed to the runway. While on the runway we got ready to take-off but then the engines were cut back and we returned to the gate. They said that the weather had closed and they couldn’t take-off , they also said that they had been notified that the pilots time has run out and that they would have to have new pilots so we sat on the plane for about an hour and a half until the new pilot got there. They said they were having problems getting clearance to leave the gate, but by the time they did surprise, the attendant time had run out and now we had to wait another hour while they found new staff. We finally left at about 1030 getting us home at about 1210 where we should’ve been home a little after eight I don’t understand how they couldn’t see the time running out coming for both the pilot and the crew well before it was the time to leave it just seems like poor management. I could understand the weather problem, but the pilots time running out within minutes of taking off doesn’t seem to make much sense and then the attendance time runs out like nobody knew that was coming very very unhappy with that situation. The flight going over to Ireland and the flight back from London to Atlanta Was fine but strictly chaotic once we got to Atlanta."
180,2,A330,Business,Economy Class,Seattle to Frankfurt via Amsterdam,April 2023,1,2,1,3,4,1,2,0,Not Verified ," Their international product is terrible, compared to other European airlines such as Lufthansa, BA or Air France. It’s very difficult to elaborate this in a few sentences since there are many small issues across the full experience that ultimately will impact your body, quality of sleep, mood, etc. Everything from planes condition, served food, utensils, FES, pillows, blankets, lack of basic toiletries (they used to provided in the past), crew’s behavior and attentiveness, quality of seats - all mediocre to poor. A glorified bus ride. What’s more upsetting is the whole “going green” charade to cut cost on elements that are so fundamental to the passenger such as food. They provide meals with this sort of pre-packaged configuration where you get useless wood silverware that makes eating completely difficult. Lack of trays makes eating a super annoying task. The portions are a joke for a 10 hours flight, and breakfast is just replica of the American “beef pockets”. So make no mistake, Delta international economy is no different than Condor or any other budget intercontinental airline that sticks to a schedule. Period. If you really care about a well spacious seat, top service and good food on a long flight, go with a European top airline."
181,2,,Business,Economy Class,Seattle to Ontario,April 2023,3,4,2,4,1,,1,0,✅ Trip Verified ,"  I fly a lot and am happy to pay extra for reliability and punctuality. Delta has twice delayed evening flights on me, pushing late flights into next-day arrivals. It's totally unacceptable and I'm looking for an alternate carrier."
182,1,,Couple Leisure,Economy Class,Toronto to Honolulu via New York,April 2023,1,1,,,1,,1,0,✅ Trip Verified , So for starters they had more available seats but choose to stick us in the last row. I had no space to place my bookbag due to the pilot occupying the space. Then I wanted coffee but the lady had just ran out. It wasn't pleasant at all.
183,1,,Family Leisure,Economy Class,Syracuse to Paris via New York,April 2023,1,1,1,1,1,,1,0,✅ Trip Verified ,  Delta delayed our first flight causing us to miss our connection and we missed an entire day of our 6 day vacation in Paris. Delta refused to put us up when it stranded us in JFK overnight. They blamed the weather however it was notably clear in both our departure and destination cities and the gate agent couldn't tell us where the inclement weather was alleged to be. I suspect they blamed the weather to avoid compensating a plane full of disgruntled passengers who's travel plans were delayed.
184,1,,Business,Economy Class,Los Angeles to New Orleans,April 2023,3,2,,,1,2,1,0,✅ Trip Verified ,  Customer service was bad. Rude and unhelpful. I had a fragile touchscreen with me in a padded bag as part of a conference display. I told the check in person it was fragile and they didn’t put fragile stickers on it. They forced me to check the fragile item in and when it arrived it was very badly broken. A crack right down the middle of the screen and other damage.
185,1,,Business,Economy Class,Columbus to Tampa via Atlanta,April 2023,3,1,1,5,1,1,2,0,✅ Trip Verified ,"  My flight to Florida April 17th through 21st by Delta was a tremendous disaster. I arrive at Columbus airport and I see that my flight is already delayed by 15 minutes. But as you know how it is, of course it was more than 15 minutes. It was more like 30 minutes delayed. And then there was more delay inside the plane once we were waiting to take off. Those delays landed me in Atlanta well past My time to board my connection flight to Florida which caused me to misconnect. The best they could do was get me book me onto another flight that was taking off two hours later which got me into Tampa at two twenty in the morning. But there's more before that flight even took off. They kept getting the gates wrong for which gate the plane was going to be boarding out of. We literally were playing back-and-forth, back-and-forth from to 2 different Gates. Each time I did this I had to take a train. I took that very train that went between gates A and B four times that night. After getting into Tampa so late I had to book a hotel nobody was going to be able to pick me up. There are no Ubers even running. Now are you ready for the return back? Same thing happened again in Atlanta. I had a misconnect Once again and the plane leaving from Tampa to Atlanta sat on the runway before leaving for 20 some minutes again. And then when we landed in Atlanta it took fifteen minutes to taxi to the gate. I was very concerned that what happened to me coming to Florida was happening again and I told the flight attendant. I'm pretty sure i'm going to miss this flight unless you guys are able to do something she assured me all you have plenty of time and dismissed it like it was nothing. Sure enough I left missed the flight because when I got finally out of there. My connection fight was already boarding and the gate. It was leaving out of was posted incorrect on the telecometer screens. Once again I miss my flight home and thank God it wasn't the last one getting to Columbus that night. I had to book a later flight getting me to clemis at midnight which the person picking me up had to delay their time too. To me this is Outrageous. I will never fly Delta again. Not only did Delta cost me extra money, but they caused me inconvenience, anxiety, panic, time, and also inconvenience to those that were helping me with this trip. And did I mention most of them were rude and didn't even care."
186,10,,Solo Leisure,First Class,Atlanta to Daytona Beach,April 2023,5,5,5,,5,,5,1,✅ Trip Verified ,"  Andra was the flight attendant on my Westchester to Atlanta leg of my trip, and she was attentive, friendly and very aware of the needs of first class passengers. There was a note on my seat, thanking me for being a silver medallion member, and entrusting Delta with my travels. It was such a nice extra touch. I was a little cold, and was wearing my gloves during the flight. Andra noticed (without me even asking) that I was chilly, and she brought over a warm bottle of water for my hands to hold. I was warm the rest of the flight. Andra's professionalism, and the superb way she and her co-flight attendants managed that flight are precisely reasons why I enjoy flying with Delta."
187,4,,Couple Leisure,Economy Class,Atlanta to Seoul,April 2023,3,5,5,5,4,5,2,0,✅ Trip Verified ,  The departure times kept changing daily. 12 hours before the departure Delta Canceled my trip from Fort Lauderdale airport to Thailand. I had to take an alternative flight a day after. The emergency line took hours for someone to call back. The flight was delayed. I missed the connecting flight in Georgia. Delta wanted to make me wait another extra day in Georgia. I lost valuable time and money. I finally arrived 2 days later. I was not happy.
188,10,,Business,Economy Class,Detroit to La Guardia,April 2023,5,5,5,5,5,5,5,1,✅ Trip Verified ,  I was on a flight from DTW to LGA and just wanted to say that I had a wonderful experience. The flight was not delayed. Boarding process was very smooth and fast. The cabin crew were amazing The pilot - hilarious and fun. Amazing take off and landing. Overall super great job to all of Delta team and yeah - I will recommend this airline anytime.
189,3,,Solo Leisure,Economy Class,Portland to Tokyo via Seattle,March 2023,4,5,4,3,1,3,2,0,✅ Trip Verified ,"  Delta should have never booked this flight! Several of us missed our connecting flight in Seattle to Tokyo. We were coming from Portland. Even if they would have left on time, I don't think we would have made our flight. This resulted in my missing an entire day of my vacation in Tokyo."
190,1,,Business,Economy Class,Minneapolis to Atlanta,April 2023,3,2,1,1,1,1,1,0,✅ Trip Verified ,  I travelled two times with Delta. I had very bad experience. Every time flight delayed. I stayed at airport more than 12 hrs & no compensation was given. Delta crew handled situation badly. In future delta will be the last option to fly for me.
191,2,,Solo Leisure,Economy Class,New York to Rome,March 2023,3,2,2,3,1,1,3,0,✅ Trip Verified ,"  Despite having a paper boarding pass as I proceeded to check in at the Delta counter at the airport, my suitcases already checked in and paid for (additional 155 USD), and arriving on time for my flight, I was denied boarding on my flight, due to a system error that prevented the staff from scanning my ticket. The staff were extremely rude and unprofessional, blaming me for the issue and providing absurd explanations for their inability to resolve the problem, to the extent that the employee at gate B37 had my luggages removed from the plane, closed the gate door in front of me and harshly asked me if had the intention of just be staying at a closing gate or if I’d rather go to the customer service counter to get help. Once I got to the counter, I was told that I had purchased my ticket through Alitalia, which could not be true as the company does exist anymore and turned into a different legal entity and then insinuated that I had firstly purchased a ticket for a different day and then modified the date, which in reality never happened. They even instructed me to contact my travel agency for assistance, as the problem was not on them, which was not helpful at all, as I had booked my ticket through the Italian lastminute.com website months before, since I studied and lived in the US for 3 months, and due to the time zone differences their help desk would have been closed. Regardless booking the ticket through a different website and not directly through the airline, I still received a confirmation number both from lastminute.com and Delta, together with and email from Delta reminding me of the imminent flight and the check-in opening. As far as I understand that system errors might happen, it should not be on the customer to solve such issues, as I own the right to board as long as I have payed, received confirmation, and I am able to check in at the airline counter without problems. Furthermore, it was not imaginable for me that the ticket did not exist according to the boarding system, as it was easily recognised by the check in counter and, once again, I had received confirmation of the booking. To make matters worse, I was forced to wait for two hours at the customer service desk before being booked on the next flight, without even receiving an apology, only 20 minute before the opening of the gate. When I asked confirmation of my luggages being take cared of, or if I needed to checked them in again, I was answered that they would’ve handled it. Unfortunately, my suitcases were not boarded and were gave back to me only three days later. As a result of this experience, I lost a significant amount of time, and I almost missed my connection, since I landed later than expected and had to deal with the opening of the case for the lost luggages, not considering the frustration and stress that the whole situation had caused me."
192,1,,Business,Economy Class,New York JFK to Toronto,April 2023,1,1,,,1,,1,0,Not Verified ,"  Flight got delayed and canceled due to the weather, totally understandable. However Delta airline communicates very poorly. Flight schedule update was slow on email, delta app, as well as airport schedule monitor screen. Everything handle so slow and unorganized cause only few front desk service was available for well over 200 people. I waited about 3 hours to get next flight ticket which it should’ve send by email or process by app under account. Customer care desk was not friendly nor patient. I felt poorly treated and disrespected by staff. First time taking a delta and this will be the last time. I’d rather give review for 0/10"
193,2,,Solo Leisure,Economy Class,Los Angeles to Melbourne,April 2023,1,1,,,1,,1,0,✅ Trip Verified ," Delta has become the worst. I put Delta and Spirit in the same box. The last 4 flights I've taken with Delta there have been issues. Today's issue: on my delayed flight, when I checked in I chose 32A. When my boarding pass printed it gave me 32B. I brought it to the gate, they said seats are subject to change, i.e. nothing we can do. They have sat me next to the seat I selected. They have no customer service. Everything is a money grab with Delta. Complete garbage. They will go the way of Blockbuster. Bye Delta."
194,1,,Couple Leisure,Economy Class,Cape Town to Atlanta,March 2023,4,2,2,4,1,,1,0,✅ Trip Verified ,"  Delta Air Lines delayed our honeymoon flight by 14 hours (we had to rebook our accommodation, as we were forced to fly out one day later). It took Delta Air Lines 1 month to reply to the email complaint and they offered zero compensation. Delta does not care about their customers if anything goes wrong."
195,7,,Couple Leisure,Economy Class,San Juan to Paris via New York JFK,April 2023,3,3,2,3,4,3,3,1,✅ Trip Verified ,"  San Juan to Paris via New York JFK. The experience has been a very good one on the cabin service side, on time departures and luggage delivery. This has been expressed to Delta in most occasions. As a negative result of the Covid-19 pandemic, the service has suffered. On April 4th, the departure gate for the JFK to Paris changed and there was no App notification. After 5 hours wait at the original gate 32, we missed the flight. The Help Desk Agent informed us that our names were called many times for boarding, but at the new gate, where we were not at, obviously. It should have been done on the PA, to be heard everywhere. Delta booked us the next day on Air France, issued new boarding passes, luggage tags and informed that the four suitcases would be transferred to arrive on the flight with us. Upon arrival, a day later in Paris, the suitcases were missing. Two hours later the claim was processed through Air France and arrived 6 days later in terrible state, delivered by Chronopost. Fortunately, we traveled for a long stay. Tourists staying for only a week in Paris would have been very inconvenienced. The departure gate change was advised by email, not on the App. Supposedly the App does not have the interface. This seems hard to believe… being a very important issue. We encourage Delta to try harder."
196,1,Boeing 757-200,Business,Economy Class,Ft Lauderdale to Atlanta,April 2023,3,4,,,1,,4,1,✅ Trip Verified ,"  The agent at the desk was the rudest person I have ever met at any airport with any airline. I fly for business. The agent was completely uncaring and rude. I had a procedure on my foot the day prior to my 5:30am flight. Didn’t get a wheelchair which was (obviously) a mistake on my part. Because at 5:00am there was a huge line at TSA. I asked the TSA there about getting one, but that meant starting the process all over again by leaving the TSA line and going back up front. As it turned out, TSA opened another line and the process sped up. I hobbled to Gate 5 (at exactly 5:20) where the agent never looked up and said (and I quote) What’s your last name? & Gate 7. I hobbled over there and saw that wasn’t my flight, so I hobbled back  to Gate 5, where the agent was just wrapping up and getting ready to leave that area. I told him that’s not my flight and while I’m talking, he’s doing his work thing and moving to his next Gate. He has an accent so it was a little difficult to understand him, but what made it worse was that he now has his back to me and walking away. I have to say to him, “Dude, don’t make me chase after you in this”! Pointing to my boot. That’s when he told me, the flight took off already. It was 5:24 when he said this words and kept moving.  When I got to Gate 7 (new gate) the same agent was there (I guess he went the long way around or something, and recommended that I should have got a wheelchair! He was just a wry rude and inconsiderate human who should not be the first representative that Delta Clients have to speak with. Delta, you can have a better person as your initial contact."
197,1,,Solo Leisure,Economy Class,Westchester to Sarasota,April 2023,1,1,1,1,1,1,1,0,✅ Trip Verified ,"  Worst flight I have ever had. To begin with I checked a bag, $30 fee, then after i paid, he gave me the bag back and told me to lug it to the other side of the terminal. The plane had No tv, my tray was broken and horrible service! One way trip, $134 + baggage fee and the oldest airplane i have ever seen.  I was waiting for Austin Powers to come out. Absolutely horrible."
198,3,,Family Leisure,Economy Class,Ft Lauderdale to Atlanta,April 2023,1,1,1,1,1,1,1,0,<✅ Trip Verified ,"  Delta has the worst customer service, I have not been more frustrated with an airline in my life. They charged me twice for the unaccompanied minor fee going one way. I continuously have to call them back for support and corrections and their airline customer service reps are rude, the first time I called the lady kept repeating ""Thank you for calling How may I help"" so I thought she couldn't hear me so I kept saying ""Can you hear me?"" and she kept repeating ""Thank you for calling How may I help"" so I asked ""Can you hear me?"" it was ridiculous then she said yes I heard you the whole time, so why didn't she answer my question why did she repeat her greeting? Although I had reached the right department she transferred me without reason. I had to call back the inquire about the double charge, the new rep asked if I saw a number that starts with 006 as I replied ""Yes"" she started ""I am just asking questions to try to help"" and I ignored that ignorant mess and continued by saying ""Yes, there are 2 numbers here that start with 006"" and I read them both to her. These people are impatient with bad attitudes, as I type this message I am on hold. I have been placed on hold by this rep for a majority of the phone call. The last time I flew Delta the back of the aircraft reeked or Urine. Other airlines have been far smoother to deal with."
